hog	genes
N1.HOG0007663	RpS27A
N1.HOG0007664	TfIIFalpha
N1.HOG0007666	Sp7
N1.HOG0007667	DNaseII
N1.HOG0007670	clu
N1.HOG0007671	CG5726
N1.HOG0007674	EcR
N1.HOG0007676	seq
N1.HOG0007677	Ip6k
N1.HOG0007678	CG16868
N1.HOG0007679	5-HT2A
N1.HOG0007680	CG31368
N1.HOG0007681	CG4294
N1.HOG0007682	CG32982
N1.HOG0007683	Hel25E
N1.HOG0007684	Tg
N1.HOG0007685	Dnz1
N1.HOG0007686	ds
N1.HOG0007687	rdgC
N1.HOG0007688	Brms1
N1.HOG0007689	CG4645
N1.HOG0007690	TTLL4A
N1.HOG0007691	CG5800
N1.HOG0007693	futsch
N1.HOG0007695	CG9701
N1.HOG0007696	CG8500
N1.HOG0007699	CAH7
N1.HOG0007700	Npc2d
N1.HOG0007701	Ssb-c31a
N1.HOG0007702	l(3)mbt
N1.HOG0007703	jnj
N1.HOG0007704	CG8097
N1.HOG0007705	coil
N1.HOG0007706	for
N1.HOG0007707	dec
N1.HOG0007708	CG43347
N1.HOG0007709	CG3939
N1.HOG0007710	CG8219,Tnpo
N1.HOG0007711	mag
N1.HOG0007712	CG15517
N1.HOG0007713	Dronc
N1.HOG0007714	Papst2
N1.HOG0007715	Zmynd10
N1.HOG0007716	Cp110
N1.HOG0007717	Usp1
N1.HOG0007719	TBCC
N1.HOG0007720	Jabba
N1.HOG0007721	CG5194
N1.HOG0007723	CG9581
N1.HOG0007724	RpS30
N1.HOG0007731	RpL3
N1.HOG0007733	TBPH,cocoon
N1.HOG0007734	Upf1
N1.HOG0007735	stum
N1.HOG0007736	CG30392
N1.HOG0007737	CG30259
N1.HOG0007738	Ir56d
N1.HOG0007739	RpS11
N1.HOG0007740	CG5033
N1.HOG0007741	Hdc
N1.HOG0007742	CG18011
N1.HOG0007743	Sara
N1.HOG0007744	sqh
N1.HOG0007745	AIMP2
N1.HOG0007746	Klp10A
N1.HOG0007747	CG17470
N1.HOG0007748	vls
N1.HOG0007749	Wnt4
N1.HOG0007750	CG10527
N1.HOG0007751	Myb
N1.HOG0007752	eIF4E3
N1.HOG0007765	snf
N1.HOG0007768	Dop2R
N1.HOG0007769	CG3246
N1.HOG0007770	Ude
N1.HOG0007771	CG31068
N1.HOG0007772	red
N1.HOG0007774	CG4020
N1.HOG0007777	ttk
N1.HOG0007780	CG16734
N1.HOG0007781	waw
N1.HOG0007782	CG30080
N1.HOG0007783	CngA
N1.HOG0007784	Rtnl1
N1.HOG0007785	CG43255,CG31862
N1.HOG0007786	l(2)k05819
N1.HOG0007787	RpS21
N1.HOG0007788	Jheh3
N1.HOG0007789	CG2258
N1.HOG0007792	edin
N1.HOG0007793	CG14200
N1.HOG0007794	CG5556,CG5561
N1.HOG0007795	CG11425
N1.HOG0007796	Nup205
N1.HOG0007797	mge
N1.HOG0007798	NijB
N1.HOG0007799	dati
N1.HOG0007800	CG13766
N1.HOG0007801	fdl
N1.HOG0007802	Ndf
N1.HOG0007803	Vps15
N1.HOG0007804	pb
N1.HOG0007805	CG12155
N1.HOG0007806	CG13616
N1.HOG0007807	ema
N1.HOG0007810	Ref1
N1.HOG0007812	tinc
N1.HOG0007813	CG3376
N1.HOG0007814	CG15073
N1.HOG0007817	RpS17
N1.HOG0007820	Cnb
N1.HOG0007822	Kdm4A
N1.HOG0007824	CG4570
N1.HOG0007826	Vps13
N1.HOG0007827	CCT2
N1.HOG0007828	CG8188
N1.HOG0007829	Tengl3
N1.HOG0007831	fab1
N1.HOG0007832	Syb
N1.HOG0007833	sa
N1.HOG0007834	GstE11
N1.HOG0007835	HP5
N1.HOG0007836	hop
N1.HOG0007837	CG32544
N1.HOG0007838	CG6903
N1.HOG0007839	piwi
N1.HOG0007840	mdy
N1.HOG0007842	CG7966
N1.HOG0007843	Dap160
N1.HOG0007844	CG1582
N1.HOG0007845	Lgr4
N1.HOG0007846	Tsp33B
N1.HOG0007847	CG8135
N1.HOG0007848	CG34376
N1.HOG0007849	Vha55
N1.HOG0007850	ppk20
N1.HOG0007851	RpL27A
N1.HOG0007852	mRpS31
N1.HOG0007853	Tsp42El
N1.HOG0007855	FucT6
N1.HOG0007857	Ir68a
N1.HOG0007859	CG17834
N1.HOG0007860	Pect
N1.HOG0007861	spd-2
N1.HOG0007862	Prosap
N1.HOG0007865	shot
N1.HOG0007867	CG1965
N1.HOG0007868	pim
N1.HOG0007869	CG15443
N1.HOG0007870	CG10588
N1.HOG0007871	Cyp4d8
N1.HOG0007873	Chchd2
N1.HOG0007875	shep
N1.HOG0007876	Hsp27
N1.HOG0007877	l(3)02640
N1.HOG0007878	Poc1
N1.HOG0007879	pdgy
N1.HOG0007880	Elal
N1.HOG0007883	nxf2
N1.HOG0007884	TBCB
N1.HOG0007885	CG32262
N1.HOG0007886	mars
N1.HOG0007887	Hmg-2
N1.HOG0007888	exu
N1.HOG0007889	Fbl6
N1.HOG0007890	Gr43a
N1.HOG0007891	CG42663
N1.HOG0007892	Rpe
N1.HOG0007894	Ir56c
N1.HOG0007896	CG13693
N1.HOG0007899	RpS16
N1.HOG0007904	rdgB
N1.HOG0007905	CG7264
N1.HOG0007906	CG4593
N1.HOG0007907	Hlc
N1.HOG0007908	CG7309
N1.HOG0007910	ND-B17.2
N1.HOG0007911	CG13872
N1.HOG0007912	Tsp42Ef
N1.HOG0007913	CG7322
N1.HOG0007914	Myd88
N1.HOG0007915	CG32694
N1.HOG0007916	Oatp33Ea
N1.HOG0007917	DNAlig3
N1.HOG0007918	eIF4A
N1.HOG0007920	pHCl-1
N1.HOG0007922	CG1640
N1.HOG0007923	unc-104
N1.HOG0007924	CG14071
N1.HOG0007926	CG42870
N1.HOG0007927	Plod
N1.HOG0007928	CG14115
N1.HOG0007929	CG32344
N1.HOG0007930	Sc2
N1.HOG0007931	Pdk1
N1.HOG0007932	Nmt
N1.HOG0007936	CG31697
N1.HOG0007937	slow
N1.HOG0007938	Elba1
N1.HOG0007940	wry
N1.HOG0007941	Miga
N1.HOG0007942	PGAP2
N1.HOG0007944	NimC3
N1.HOG0007946	fs(1)N
N1.HOG0007947	fray
N1.HOG0007954	RpL10
N1.HOG0007957	nmdyn-D7
N1.HOG0007958	Tpc2
N1.HOG0007959	CSN4
N1.HOG0007960	fra
N1.HOG0007961	mad2
N1.HOG0007962	Camp
N1.HOG0007963	Sec6
N1.HOG0007964	arr
N1.HOG0007965	aPKC
N1.HOG0007966	CG4622
N1.HOG0007967	Fcp1
N1.HOG0007968	Uch
N1.HOG0007969	Lamp1
N1.HOG0007970	Cul1
N1.HOG0007971	grh
N1.HOG0007972	CG12914
N1.HOG0007973	Hexo2
N1.HOG0007974	CG6686
N1.HOG0007975	NijC
N1.HOG0007976	nompB
N1.HOG0007977	fal
N1.HOG0007978	dia
N1.HOG0007979	RpS3A
N1.HOG0007981	Gr28a
N1.HOG0007982	rngo
N1.HOG0007983	PK2-R2
N1.HOG0007984	Sec5
N1.HOG0007986	Tsp42Er
N1.HOG0007987	Sos
N1.HOG0007988	twz
N1.HOG0007989	Khc
N1.HOG0007990	Ndc1
N1.HOG0007991	CG5050
N1.HOG0007992	CLIP-190
N1.HOG0007996	Pka-C1
N1.HOG0008002	htt
N1.HOG0008010	CG1628
N1.HOG0008011	CG30108,CG30109
N1.HOG0008012	RpL7A
N1.HOG0008013	rt
N1.HOG0008014	ClC-c
N1.HOG0008015	scf
N1.HOG0008017	SCaMC
N1.HOG0008018	CG10089
N1.HOG0008020	Dci
N1.HOG0008025	mts
N1.HOG0008028	CaMKI
N1.HOG0008029	Rab21
N1.HOG0008030	CG13484
N1.HOG0008031	CG17387
N1.HOG0008032	Vajk2
N1.HOG0008033	Argl
N1.HOG0008034	nolo
N1.HOG0008035	Ifrd1
N1.HOG0008036	CG8289
N1.HOG0008037	MESK4,CG31274
N1.HOG0008038	CG5521
N1.HOG0008039	beta-PheRS
N1.HOG0008040	Cbp20
N1.HOG0008044	nAChRbeta2
N1.HOG0008047	CG14894
N1.HOG0008048	CG4210
N1.HOG0008049	RhoGEF2
N1.HOG0008052	CG44838
N1.HOG0008053	CG3345
N1.HOG0008054	PPO1
N1.HOG0008055	Spt-I
N1.HOG0008056	CG15111
N1.HOG0008057	Art7
N1.HOG0008060	slim
N1.HOG0008062	gammaSnap1,gammaSnap2
N1.HOG0008063	Ugt301D1
N1.HOG0008065	CG10417
N1.HOG0008066	Naa35
N1.HOG0008067	Csgalnact
N1.HOG0008070	Obp56h
N1.HOG0008075	Cdk9
N1.HOG0008076	MESK2
N1.HOG0008077	spin
N1.HOG0008087	Sdic2,sw,Sdic1
N1.HOG0008088	CG12728,CG32756
N1.HOG0008089	CG15894
N1.HOG0008090	CG3588
N1.HOG0008095	CG31637
N1.HOG0008096	Wdr82
N1.HOG0008097	RhoGEF4
N1.HOG0008098	Slbp
N1.HOG0008099	UQCR-C1
N1.HOG0008103	atl
N1.HOG0008104	CG42709
N1.HOG0008105	SLC22A
N1.HOG0008106	Ir21a
N1.HOG0008107	CG3061
N1.HOG0008108	CG32809
N1.HOG0008109	Tim10
N1.HOG0008110	PH4alphaEFB
N1.HOG0008111	CG7352
N1.HOG0008117	Nmdar2
N1.HOG0008129	Taf8
N1.HOG0008130	Alp4
N1.HOG0008131	CdGAPr
N1.HOG0008132	Tnpo-SR
N1.HOG0008133	Su(var)3-7
N1.HOG0008134	Pep
N1.HOG0008136	kuz
N1.HOG0008138	bai
N1.HOG0008139	Rtca
N1.HOG0008141	Csk
N1.HOG0008147	CG16935
N1.HOG0008152	Flacc
N1.HOG0008154	Pym
N1.HOG0008155	Arp10
N1.HOG0008157	CG7252
N1.HOG0008158	CG30391,CG30393
N1.HOG0008159	rux
N1.HOG0008160	CG30403
N1.HOG0008161	babos
N1.HOG0008162	Ilp5
N1.HOG0008163	CG34258,CG15233,CG32219
N1.HOG0008165	CG42671
N1.HOG0008166	frm
N1.HOG0008167	siz
N1.HOG0008168	CG7632
N1.HOG0008169	CG7945
N1.HOG0008170	CG7202
N1.HOG0008171	CG32425
N1.HOG0008172	woc
N1.HOG0008174	I-2
N1.HOG0008176	Pkg21D
N1.HOG0008177	HERC2
N1.HOG0008183	Neto
N1.HOG0008185	sni
N1.HOG0008186	Zif
N1.HOG0008187	Pi4KIIalpha
N1.HOG0008188	XNP
N1.HOG0008189	tobi
N1.HOG0008191	Ssadh
N1.HOG0008192	Df31
N1.HOG0008193	LUBEL
N1.HOG0008194	CG31675
N1.HOG0008195	Ranbp21
N1.HOG0008196	Acsx4
N1.HOG0008197	Cmpk
N1.HOG0008198	CG6974
N1.HOG0008199	Tgs1
N1.HOG0008200	Nup153
N1.HOG0008201	bgcn
N1.HOG0008202	nompA
N1.HOG0008203	Mtor
N1.HOG0008204	oys
N1.HOG0008205	FIG4
N1.HOG0008206	Vps35
N1.HOG0008207	CG7737
N1.HOG0008210	CG8248
N1.HOG0008211	Cpr47Ea
N1.HOG0008212	papi
N1.HOG0008213	mre11
N1.HOG0008214	Tep3
N1.HOG0008215	Oscillin
N1.HOG0008216	msl-1
N1.HOG0008217	CG4554
N1.HOG0008218	CG8654
N1.HOG0008219	CG13492
N1.HOG0008220	Rala
N1.HOG0008221	TAF1C-like
N1.HOG0008223	DAAM
N1.HOG0008224	CG8419
N1.HOG0008225	Ziz
N1.HOG0008226	AgmNAT
N1.HOG0008227	mri
N1.HOG0008229	CG6420
N1.HOG0008230	Yif1
N1.HOG0008231	RhoGDI
N1.HOG0008232	CG4393
N1.HOG0008233	CG7080
N1.HOG0008234	Tsp42Ei
N1.HOG0008235	CG42807
N1.HOG0008236	CG30089
N1.HOG0008237	Fancd2
N1.HOG0008238	dgt6
N1.HOG0008239	CG31729
N1.HOG0008240	Apoltp
N1.HOG0008241	Ir40a
N1.HOG0008242	hyd
N1.HOG0008243	CG4743
N1.HOG0008244	tum
N1.HOG0008246	CG10761
N1.HOG0008247	sas
N1.HOG0008248	bor
N1.HOG0008249	CG17739
N1.HOG0008250	CG15382
N1.HOG0008251	Obp58d
N1.HOG0008252	EAChm
N1.HOG0008253	SoYb
N1.HOG0008254	Dyro
N1.HOG0008255	CG6928
N1.HOG0008257	PGRP-LF
N1.HOG0008269	Afg3l2
N1.HOG0008270	pav
N1.HOG0008271	Cep135
N1.HOG0008272	RpLP0
N1.HOG0008273	spen
N1.HOG0008274	Mitf
N1.HOG0008275	ssp3
N1.HOG0008276	CG8545
N1.HOG0008277	CG2691
N1.HOG0008278	Itpr
N1.HOG0008279	Nup35
N1.HOG0008281	CG4009
N1.HOG0008283	Tpi
N1.HOG0008284	CG1622
N1.HOG0008286	ATP8A
N1.HOG0008287	YME1L
N1.HOG0008288	Samuel
N1.HOG0008289	dpr1
N1.HOG0008290	CG13747
N1.HOG0008291	Vhl
N1.HOG0008292	CG30496
N1.HOG0008293	CG13204
N1.HOG0008294	Eps-15
N1.HOG0008295	sPLA2
N1.HOG0008298	ERp60
N1.HOG0008300	Mdr49
N1.HOG0008301	rig
N1.HOG0008302	CG8569
N1.HOG0008304	CG7530
N1.HOG0008305	CG15387
N1.HOG0008306	CG13796
N1.HOG0008311	CkIIbeta
N1.HOG0008318	CG1513
N1.HOG0008319	CG42259,CG43229
N1.HOG0008320	CG42486,CG14933
N1.HOG0008321	Aos1
N1.HOG0008322	CG17122
N1.HOG0008323	GCS2alpha
N1.HOG0008324	Inx2
N1.HOG0008325	4E-T
N1.HOG0008326	CG11034
N1.HOG0008327	DCTN6-p27
N1.HOG0008328	Osi8
N1.HOG0008329	CG13912
N1.HOG0008330	CG6040
N1.HOG0008331	CG1983
N1.HOG0008332	cdc14
N1.HOG0008333	Nepl13
N1.HOG0008338	Syx1A
N1.HOG0008341	MED18
N1.HOG0008342	CG1532
N1.HOG0008343	Edem1
N1.HOG0008344	St1
N1.HOG0008345	CNT2
N1.HOG0008346	Cad89D
N1.HOG0008347	CG3165
N1.HOG0008348	SIFaR
N1.HOG0008349	Upf3
N1.HOG0008350	CG3224
N1.HOG0008351	cv-d
N1.HOG0008352	CG31183
N1.HOG0008353	CG14210
N1.HOG0008354	pug
N1.HOG0008355	lva
N1.HOG0008356	CG6927
N1.HOG0008357	Ork1
N1.HOG0008358	Tsf1
N1.HOG0008359	CG42834,CG42835,CG14332,CG33333
N1.HOG0008362	ssp2
N1.HOG0008363	Smn
N1.HOG0008364	sgl
N1.HOG0008365	pbl
N1.HOG0008366	CG9192
N1.HOG0008367	Cdc5
N1.HOG0008368	l(3)72Dr
N1.HOG0008369	Pc
N1.HOG0008370	CG43980
N1.HOG0008371	CG5969
N1.HOG0008372	nes
N1.HOG0008373	Axs
N1.HOG0008374	CG4213
N1.HOG0008375	CG2519
N1.HOG0008376	CG5793
N1.HOG0008377	CG18809
N1.HOG0008378	CG13078
N1.HOG0008381	Gas41
N1.HOG0008382	BicC
N1.HOG0008383	Cyp28d2,Cyp28d1
N1.HOG0008385	Lim1
N1.HOG0008387	gry
N1.HOG0008388	CG32066
N1.HOG0008389	CtsF
N1.HOG0008390	Acf
N1.HOG0008391	CAH9
N1.HOG0008393	Nlg4
N1.HOG0008398	GlyS
N1.HOG0008399	bel
N1.HOG0008400	mtd
N1.HOG0008401	CG6910
N1.HOG0008402	Cpr51A
N1.HOG0008404	eEF1beta
N1.HOG0008405	Cht12
N1.HOG0008406	trx
N1.HOG0008408	ATPsynF
N1.HOG0008409	pAbp
N1.HOG0008410	Cyp6g2
N1.HOG0008411	CG10383
N1.HOG0008412	vimar
N1.HOG0008413	drosha
N1.HOG0008414	CG14764
N1.HOG0008415	CG3520
N1.HOG0008420	SLO2
N1.HOG0008424	CG15649
N1.HOG0008425	CG31751
N1.HOG0008426	ND-B16.6
N1.HOG0008427	CG16965
N1.HOG0008428	ste14
N1.HOG0008429	Mrgn1
N1.HOG0008430	CG31706
N1.HOG0008432	ppk16
N1.HOG0008435	Tmx3
N1.HOG0008436	Hsdl2
N1.HOG0008438	Clbn
N1.HOG0008440	T48
N1.HOG0008441	not
N1.HOG0008442	rod
N1.HOG0008443	CG7483
N1.HOG0008444	p53
N1.HOG0008445	Sf3b2
N1.HOG0008446	cactin
N1.HOG0008447	gpp
N1.HOG0008448	CG8852
N1.HOG0008449	Faf2
N1.HOG0008450	CG4497
N1.HOG0008452	CG4045
N1.HOG0008453	ND-ASHI
N1.HOG0008454	IntS6
N1.HOG0008455	asun
N1.HOG0008457	CG11068
N1.HOG0008458	Dnah3
N1.HOG0008460	CG2617
N1.HOG0008464	Shab
N1.HOG0008465	mtrm
N1.HOG0008466	CG1316
N1.HOG0008467	Neurl4
N1.HOG0008468	RpL26
N1.HOG0008469	Ir75d
N1.HOG0008470	CG7139
N1.HOG0008471	THADA
N1.HOG0008472	sv
N1.HOG0008473	Tdg
N1.HOG0008474	CG12061
N1.HOG0008478	CG13375
N1.HOG0008480	Dlip2
N1.HOG0008481	l(2)k14505
N1.HOG0008485	dmt
N1.HOG0008486	tub
N1.HOG0008491	lab
N1.HOG0008494	CG10175
N1.HOG0008495	Acat1
N1.HOG0008496	Tim9b
N1.HOG0008497	Fip1
N1.HOG0008498	CG15497
N1.HOG0008499	ClpX
N1.HOG0008500	Or67b
N1.HOG0008501	Mocs1
N1.HOG0008502	Alp6
N1.HOG0008503	Oatp58Dc
N1.HOG0008504	CG13506
N1.HOG0008505	Or56a
N1.HOG0008506	CG8155
N1.HOG0008507	CG10038
N1.HOG0008508	RpS15
N1.HOG0008510	Pms2
N1.HOG0008511	Fancm
N1.HOG0008512	CG15083
N1.HOG0008513	PIG-A
N1.HOG0008514	Cep97
N1.HOG0008515	SA
N1.HOG0008519	dlp
N1.HOG0008527	svr
N1.HOG0008529	Tes
N1.HOG0008530	RpL7
N1.HOG0008531	Tehao
N1.HOG0008532	CG3841
N1.HOG0008533	PICK1
N1.HOG0008534	cup
N1.HOG0008535	chif
N1.HOG0008536	eIF2alpha
N1.HOG0008541	Chpf
N1.HOG0008544	Osi1
N1.HOG0008545	CG5003
N1.HOG0008546	Rint1
N1.HOG0008547	Cyp12e1
N1.HOG0008548	ohgt
N1.HOG0008549	CG17271
N1.HOG0008550	Nopp140
N1.HOG0008551	Spn43Ab
N1.HOG0008552	ND-18
N1.HOG0008553	HUWE1
N1.HOG0008554	CG18549
N1.HOG0008555	Spg7
N1.HOG0008556	RpLP0-like
N1.HOG0008557	CG7997
N1.HOG0008558	rtv
N1.HOG0008559	CG9674
N1.HOG0008560	TM9SF2
N1.HOG0008561	CG17683
N1.HOG0008562	CG10864
N1.HOG0008563	Spag1
N1.HOG0008564	CG3226
N1.HOG0008565	CG1575
N1.HOG0008567	dlg1
N1.HOG0008574	RpL36
N1.HOG0008579	Mcm6
N1.HOG0008580	DENR
N1.HOG0008581	Pgant7
N1.HOG0008582	CG9281
N1.HOG0008583	CG12320
N1.HOG0008584	CG7970
N1.HOG0008585	Gr97a
N1.HOG0008586	CG18266
N1.HOG0008587	Tom7
N1.HOG0008588	l(2)05714
N1.HOG0008589	Mi-2
N1.HOG0008590	Atac3
N1.HOG0008591	Klp67A
N1.HOG0008592	t-Grip84
N1.HOG0008593	CG8564
N1.HOG0008595	MED10
N1.HOG0008596	eIF2beta
N1.HOG0008598	Tsf2
N1.HOG0008599	Pmm2
N1.HOG0008600	CG5048
N1.HOG0008602	CG3919
N1.HOG0008603	mop
N1.HOG0008604	IntS10
N1.HOG0008605	ATP7
N1.HOG0008606	Or24a
N1.HOG0008607	ATPsyndelta
N1.HOG0008608	Bx42
N1.HOG0008609	CG17378
N1.HOG0008610	CG33510
N1.HOG0008611	Dscam3
N1.HOG0008612	CG14646
N1.HOG0008613	TFAM
N1.HOG0008614	bnl
N1.HOG0008615	Cp190
N1.HOG0008616	CG6912
N1.HOG0008617	kra
N1.HOG0008618	CG8136
N1.HOG0008619	CG11964
N1.HOG0008620	CG3831
N1.HOG0008621	LanB2
N1.HOG0008622	ABCB7
N1.HOG0008623	CG13360
N1.HOG0008624	Pif1
N1.HOG0008625	vtd
N1.HOG0008626	Gr57a
N1.HOG0008627	Pdp
N1.HOG0008632	RyR
N1.HOG0008645	bbc
N1.HOG0008646	CG17574
N1.HOG0008647	CG4781
N1.HOG0008648	CG42336
N1.HOG0008649	ITP
N1.HOG0008650	CG17985
N1.HOG0008651	Rpt1
N1.HOG0008652	Vrp1
N1.HOG0008653	CG8929
N1.HOG0008654	garz
N1.HOG0008655	CG42700
N1.HOG0008656	Cpr49Ag
N1.HOG0008657	CG13226
N1.HOG0008658	RanBP3
N1.HOG0008659	Rpn9
N1.HOG0008660	CG46339
N1.HOG0008661	speck
N1.HOG0008662	tamo
N1.HOG0008663	RNaseZ
N1.HOG0008664	Usp39
N1.HOG0008665	Axn
N1.HOG0008666	CG6878
N1.HOG0008667	gogo
N1.HOG0008668	CG11696
N1.HOG0008669	MCTS1
N1.HOG0008670	E23
N1.HOG0008671	ZC3H3
N1.HOG0008672	CG8042
N1.HOG0008673	rictor
N1.HOG0008674	CG33299
N1.HOG0008675	DppIII
N1.HOG0008676	CG8507
N1.HOG0008677	Syp
N1.HOG0008678	RpL4
N1.HOG0008679	CG1090
N1.HOG0008680	Gel
N1.HOG0008681	twin
N1.HOG0008682	Ca-alpha1T
N1.HOG0008683	RhoGAP18B
N1.HOG0008684	Vinc
N1.HOG0008685	imd
N1.HOG0008686	CG6015
N1.HOG0008687	Arfip
N1.HOG0008688	CG3604
N1.HOG0008689	pk
N1.HOG0008690	gzl
N1.HOG0008692	CG10702
N1.HOG0008693	CG13008
N1.HOG0008694	Smyd4-4
N1.HOG0008695	Adk3
N1.HOG0008696	Arl5
N1.HOG0008697	CG14207
N1.HOG0008698	Usp8
N1.HOG0008699	BHD
N1.HOG0008700	CycT
N1.HOG0008705	CG13086
N1.HOG0008706	CG31773
N1.HOG0008707	CG17030
N1.HOG0008709	LanA
N1.HOG0008710	dsx-c73A
N1.HOG0008711	CG3634
N1.HOG0008712	RecQ4
N1.HOG0008714	Blimp-1
N1.HOG0008715	ppk26
N1.HOG0008716	tant
N1.HOG0008717	CG14826
N1.HOG0008718	RIOK1
N1.HOG0008719	CG43897
N1.HOG0008720	CG1703
N1.HOG0008722	PMCA
N1.HOG0008723	MED26
N1.HOG0008724	NaPi-T
N1.HOG0008725	TRAM
N1.HOG0008726	CG34348
N1.HOG0008727	Cyp28c1
N1.HOG0008728	Pcmt
N1.HOG0008729	Prx5
N1.HOG0008730	wol
N1.HOG0008731	NimB4
N1.HOG0008732	nrv2
N1.HOG0008733	nrv1
N1.HOG0008734	sinah
N1.HOG0008738	acj6
N1.HOG0008739	CD98hc
N1.HOG0008740	Sik3
N1.HOG0008741	CG12375
N1.HOG0008742	dac
N1.HOG0008743	robo1
N1.HOG0008744	CG5721
N1.HOG0008745	SP2353
N1.HOG0008746	RpS24
N1.HOG0008747	CG2852
N1.HOG0008748	CkIIbeta2
N1.HOG0008749	side-VIII
N1.HOG0008751	CG1440
N1.HOG0008752	Tango11
N1.HOG0008753	Hrd3
N1.HOG0008754	sau
N1.HOG0008755	CG11149
N1.HOG0008756	rost
N1.HOG0008757	pnut
N1.HOG0008758	CG3942
N1.HOG0008759	CG11145
N1.HOG0008763	CG9915
N1.HOG0008767	CtsB
N1.HOG0008768	RpS3
N1.HOG0008773	peb
N1.HOG0008774	kar
N1.HOG0008775	CG14118
N1.HOG0008776	CG2608
N1.HOG0008777	RanGAP
N1.HOG0008778	KdelR
N1.HOG0008779	l(2)37Cd
N1.HOG0008780	Phlpp
N1.HOG0008781	RPA2
N1.HOG0008782	Pgant5
N1.HOG0008783	spdi
N1.HOG0008784	Efhc1.1
N1.HOG0008785	Ocrl
N1.HOG0008786	Osi9
N1.HOG0008787	CG5849
N1.HOG0008788	Prp4k
N1.HOG0008789	Trh
N1.HOG0008790	PGRP-SB1
N1.HOG0008792	sds22
N1.HOG0008794	CG7420
N1.HOG0008796	Gr21a
N1.HOG0008797	Polr1E
N1.HOG0008798	CG1907
N1.HOG0008800	CCT4
N1.HOG0008803	Pgant3
N1.HOG0008804	ro
N1.HOG0008805	Ipp
N1.HOG0008806	sws
N1.HOG0008807	Pbp49
N1.HOG0008808	CG13326
N1.HOG0008810	chic
N1.HOG0008813	CG17715
N1.HOG0008814	CG3566
N1.HOG0008815	CG6701
N1.HOG0008816	CG11808
N1.HOG0008817	CG5953
N1.HOG0008818	CG32032
N1.HOG0008819	teq
N1.HOG0008820	alphaCOP
N1.HOG0008821	CG6138
N1.HOG0008822	CG13538
N1.HOG0008823	CG6793
N1.HOG0008824	CG13403
N1.HOG0008825	CG7016
N1.HOG0008826	CG13427
N1.HOG0008827	MnM
N1.HOG0008828	RpL14
N1.HOG0008829	drpr
N1.HOG0008830	Dhc62B
N1.HOG0008831	app
N1.HOG0008832	smid
N1.HOG0008833	CG1265
N1.HOG0008834	CG14567,CG33290
N1.HOG0008835	CG14186
N1.HOG0008836	Cyp312a1
N1.HOG0008837	Pgant8
N1.HOG0008838	Mes2
N1.HOG0008839	Sarm
N1.HOG0008840	CG5021
N1.HOG0008841	Ing3
N1.HOG0008843	E(var)3-9
N1.HOG0008846	Rai1
N1.HOG0008847	ppk7
N1.HOG0008848	NimC2
N1.HOG0008849	Nos
N1.HOG0008851	Ubc2
N1.HOG0008852	CG43338
N1.HOG0008853	CG11417
N1.HOG0008854	Cnot4
N1.HOG0008858	MetRS-m
N1.HOG0008860	CG8141
N1.HOG0008861	mod
N1.HOG0008862	Map205
N1.HOG0008863	modSP
N1.HOG0008864	CG10317
N1.HOG0008865	CG10898
N1.HOG0008866	CG17687
N1.HOG0008867	Rtf1
N1.HOG0008868	mute
N1.HOG0008869	Tmc
N1.HOG0008870	Myc
N1.HOG0008871	PIG-G
N1.HOG0008872	Tbp
N1.HOG0008873	CG42360
N1.HOG0008874	wdp
N1.HOG0008875	prod
N1.HOG0008876	tef
N1.HOG0008877	CG15674
N1.HOG0008878	CG5174
N1.HOG0008879	mago
N1.HOG0008880	CG8841
N1.HOG0008881	CG13955
N1.HOG0008882	Nup54
N1.HOG0008883	RIOK2
N1.HOG0008884	DIP-theta
N1.HOG0008885	CG7236
N1.HOG0008886	obst-E
N1.HOG0008887	CG8892
N1.HOG0008888	CG12910
N1.HOG0008889	Hexo1
N1.HOG0008890	RhoGAP15B
N1.HOG0008891	Su(fu)
N1.HOG0008892	CG32137
N1.HOG0008893	DCTN1-p150
N1.HOG0008894	caz
N1.HOG0008896	NAAT1
N1.HOG0008897	CG34109
N1.HOG0008898	Axud1
N1.HOG0008899	RtGEF
N1.HOG0008900	CG31798
N1.HOG0008901	CG7214
N1.HOG0008902	Oatp30B
N1.HOG0008903	Nhe3
N1.HOG0008904	CG5435
N1.HOG0008905	VGlut
N1.HOG0008906	Tps1
N1.HOG0008907	Osi12
N1.HOG0008908	GstO2
N1.HOG0008909	Vps13B
N1.HOG0008910	Ice2
N1.HOG0008923	eEF1gamma
N1.HOG0008927	CG9684
N1.HOG0008928	Nct
N1.HOG0008929	hmw
N1.HOG0008931	Sf3a2
N1.HOG0008932	26-29-p
N1.HOG0008933	Psf3
N1.HOG0008934	CG1103
N1.HOG0008935	CG10877
N1.HOG0008936	CG13397
N1.HOG0008937	Polr2C
N1.HOG0008938	Arp6
N1.HOG0008939	CG7987
N1.HOG0008940	CG9215
N1.HOG0008941	CG18870
N1.HOG0008942	ord
N1.HOG0008943	CG34445
N1.HOG0008944	fidipidine
N1.HOG0008945	ppk23
N1.HOG0008946	TBCD
N1.HOG0008947	und
N1.HOG0008948	Cht10
N1.HOG0008949	stac
N1.HOG0008950	Sf3b1
N1.HOG0008951	ken
N1.HOG0008952	CG14805
N1.HOG0008953	Gle1
N1.HOG0008954	CG6347
N1.HOG0008955	MKP-4
